controller_url,controller_file,resource_name
/src/main/java/com/wti/admin/bizMng/poolMng/ctrl/JoinEnpAplyInfoController.java,JoinEnpAplyInfoController.java,comBizDAO
/src/main/java/com/wti/admin/bizMng/poolMng/ctrl/JoinEnpPoolSttnController.java,JoinEnpPoolSttnController.java,JoinEnpPoolSttnService
/src/main/java/com/wti/admin/bizMng/poolMng/ctrl/SpctrAplyInfoController.java,SpctrAplyInfoController.java,spctrAplyInfoService
/src/main/java/com/wti/admin/bizMng/poolMng/ctrl/SpctrPoolSttnController.java,SpctrPoolSttnController.java,spctrPoolSttnService
/src/main/java/com/wti/admin/bizMng/reg/ctrl/BizNotcRegController.java,BizNotcRegController.java,bizNotcRegService
/src/main/java/com/wti/admin/bizMng/reg/ctrl/BizNotcSttnController.java,BizNotcSttnController.java,bizNotcSttnService
/src/main/java/com/wti/admin/bizMng/reg/ctrl/BizRegInfoController.java,BizRegInfoController.java,bizRegInfoService
/src/main/java/com/wti/admin/bizMng/reg/ctrl/BizRegInfoController.java,BizRegInfoController.java,bizRegInfoTranProcService
/src/main/java/com/wti/admin/bizMng/reg/ctrl/BizRegInfoController.java,BizRegInfoController.java,bizRegTranProcService
/src/main/java/com/wti/admin/bizMng/reg/ctrl/BizSttnController.java,BizSttnController.java,bizSttnService
/src/main/java/com/wti/admin/bizMng/sttn/ctrl/BsbyAplySttnController.java,BsbyAplySttnController.java,bsbyAplySttnService
/src/main/java/com/wti/admin/bizMng/sttn/ctrl/BsbySprtSttnController.java,BsbySprtSttnController.java,bsbySprtSttnService
/src/main/java/com/wti/admin/bizMng/wfsCntr/ctrl/WfsAplyInfoController.java,WfsAplyInfoController.java,wfsAplyInfoService
/src/main/java/com/wti/admin/bizofc/ctrl/BizofcMngController.java,BizofcMngController.java,bizofcMngService
/src/main/java/com/wti/admin/bizofc/ctrl/BizofcMngController.java,BizofcMngController.java,emailService
/src/main/java/com/wti/admin/cmn/bizAply/ctrl/AccnSrvySttnController.java,AccnSrvySttnController.java,AccnSrvySttnService
/src/main/java/com/wti/admin/cmn/bizAply/ctrl/AplyAcptSttnController.java,AplyAcptSttnController.java,aplyAcptSttnService
/src/main/java/com/wti/admin/cmn/bizAply/ctrl/AplyAcptSttnController.java,AplyAcptSttnController.java,lgnHistMngInqrService
/src/main/java/com/wti/admin/cmn/bizAply/ctrl/SelEvalSttnController.java,SelEvalSttnController.java,SelEvalSttnService
