xml_url,inXml
/wqxml/adm/20spclhs/bizMng/jobCstmClsAdmSttn.xml,/wqxml/adm/20spclhs/bizMng/jobCstmClsAdmRegInfo.xml
/wqxml/adm/20spclhs/bizMng/jobCstmClsAdmSttn.xml,/wqxml/adm/20spclhs/bizMng/eduCrsDev.xml
/wqxml/adm/20spclhs/bizMng/teamPrjMng.xml,/wqxml/cmn/popup/teamPrjSch.xml
/wqxml/adm/20spclhs/bizMng/teamPrjMng.xml,/wqxml/cmn/popup/teamPrjSubj.xml
/wqxml/adm/20spclhs/statSttn/otcmIndxSttn.xml,/wqxml/adm/20spclhs/statSttn/spclhsOtcmIndx.xml
/wqxml/adm/20spclhs/statSttn/spclhsRsltIndx.xml,/wqxml/adm/20spclhs/statSttn/spclhsOtcmIndx.xml
/wqxml/adm/21cndept/bdgtAplct/cndeptBudgetDvrRqstDetl.xml,/wqxml/adm/21cndept/bdgtAplct/cndeptBudgetDvrRqstSttn.xml
/wqxml/adm/21cndept/bdgtAplct/cndeptBudgetDvrRqstSttn.xml,/wqxml/adm/21cndept/bdgtAplct/cndeptBudgetDvrRqstDetl.xml
/wqxml/adm/21cndept/bizMng/cndeptBizcsEctnMngInfo.xml,/wqxml/adm/21cndept/bizMng/cndeptBizcsEctnDtlsItmzPop.xml
/wqxml/adm/21cndept/bizMng/cndeptTrptCnttSttn.xml,/wqxml/adm/21cndept/bizAply/cndeptBizAplyInfo.xml
/wqxml/adm/21cndept/bizMng/cndeptTrptCnttSttn.xml,/wqxml/adm/21cndept/bizMng/cndeptTrptCnttInqr.xml
/wqxml/adm/21cndept/schlMng/addSchlPopup.xml,/wqxml/cmn/popup/cndeptSchlPop.xml
/wqxml/adm/21cndept/schlMng/schlSttn.xml,/wqxml/adm/21cndept/schlMng/addSchlPopup.xml
/wqxml/adm/21cndept/stdnMng/stdnJoinHstDtl.xml,/wqxml/cmn/popup/insttCndeptPopup.xml
/wqxml/adm/21cndept/stdnMng/stdnJoinSttn.xml,/wqxml/adm/21cndept/stdnMng/stdnJoinHstDtl.xml
/wqxml/adm/22techo/bizAply/techoBizAply.xml,/wqxml/adm/22techo/bizAply/techoSpclhsInfoPop.xml
/wqxml/adm/22techo/bizAply/techoBizAplyInfo.xml,/wqxml/adm/22techo/bizAply/techoSpclhsInfoPop.xml
/wqxml/adm/22techo/bizAply/techoBizAplyInfo.xml,/wqxml/adm/22techo/bizAply/techoMsenpInfoPop.xml
/wqxml/adm/22techo/bizAply/techoBizAplyInfo_2014.xml,/wqxml/adm/22techo/bizAply/techoSpclhsInfoPop.xml
/wqxml/adm/22techo/bizAply/techoBizAplyInfo_2014.xml,/wqxml/adm/22techo/bizAply/techoMsenpInfoPop.xml
/wqxml/adm/22techo/bizMng/techBudgetDvrRqstDetl.xml,/wqxml/adm/22techo/bizMng/techBudgetDvrRqstSttn.xml
